,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
149,Marvin Friedrich,,27,1.93,Germany,Kassel,5.0,10.0,Defender - Centre-Back,5,right,Bor. M'gladbach,2026-06-30,2022-01-11,ROOF,adidas
150,Tony Jantschke,,33,1.77,Germany,Hoyerswerda,0.8,9.0,Defender - Centre-Back,24,right,Bor. M'gladbach,2024-06-30,2009-07-01,Fröhlich ...,
151,Mamadou Doucouré,,24,1.83,France  Senegal,Dakar,0.1,0.5,Defender - Centre-Back,4,left,Bor. M'gladbach,2024-06-30,2016-07-01,Sport Avenir ...,
152,Ramy Bensebaini,رامي بن سبعيني,28,1.87,Algeria,Constantine,20.0,22.0,Defender - Left-Back,25,left,Bor. M'gladbach,2023-06-30,2019-08-14,HCM Sports ...,
153,Luca Netz,,19,1.84,Germany,Berlin,6.5,6.5,Defender - Left-Back,20,left,Bor. M'gladbach,2026-06-30,2021-08-06,11WINS,
154,Joe Scally,Joseph Michael Scally,20,1.84,United States,"Lake Grove, New York",12.0,12.0,Defender - Right-Back,29,right,Bor. M'gladbach,2027-06-30,2021-01-01,Wasserman,Nike
155,Stefan Lainer,,30,1.75,Austria,Salzburg,3.5,18.0,Defender - Right-Back,18,right,Bor. M'gladbach,2024-06-30,2019-07-01,ROOF,
156,Simon Walde,,18,1.85,Germany,Düsseldorf,,,Defender - Right-Back,45,right,Bor. M'gladbach,2026-06-30,2023-01-04,Wasserman,adidas
157,Julian Weigl,,27,1.86,Germany,Bad Aibling,15.0,30.0,midfield - Defensive Midfield,8,right,Bor. M'gladbach,2023-06-30,2022-09-01,Sports360 GmbH,Puma
158,Christoph Kramer,,32,1.91,Germany,Solingen,2.5,14.0,midfield - Defensive Midfield,6,right,Bor. M'gladbach,2025-06-30,2016-07-01,ROOF,adidas
159,Manu Koné,Kouadio Manu Koné,21,1.85,France  Cote d'Ivoire,Colombes,30.0,30.0,midfield - Central Midfield,17,right,Bor. M'gladbach,2025-06-30,2021-01-21,Classico,adidas
160,Florian Neuhaus,Florian Christian Neuhaus,26,1.85,Germany,Landsberg am Lech,15.0,38.0,midfield - Central Midfield,32,right,Bor. M'gladbach,2024-06-30,2017-07-01,CN Sports,
161,Oscar Fraulo,Oscar Luigi Fraulo,19,1.8,Denmark  Italy,Odense,2.0,2.0,midfield - Central Midfield,22,right,Bor. M'gladbach,2026-06-30,2022-07-01,NINE Group,Nike
162,Lars Stindl,Lars Edi Stindl,34,1.81,Germany,Speyer,2.5,18.0,midfield - Attacking Midfield,13,right,Bor. M'gladbach,2023-06-30,2015-07-01,Dirk Hebel,
163,Conor Noß,,22,1.81,Ireland  Germany,Düsseldorf,0.7,0.7,midfield - Attacking Midfield,34,both,Bor. M'gladbach,2024-06-30,2021-07-01,B360 Sports,adidas
164,Alassane Plea,Alassane Alexandre Plea,30,1.81,France  Mali,Lille,10.0,38.0,Attack - Left Winger,14,right,Bor. M'gladbach,2025-06-30,2018-07-13,SMI SPORTS ...,
165,Hannes Wolf,Hannes Tarn Wolf,24,1.79,Austria,Graz,4.0,12.0,Attack - Left Winger,11,left,Bor. M'gladbach,2024-06-30,2021-07-01,HCM Sports ...,
166,Yvandro Borges Sanches,,18,1.75,Luxembourg  Cape Verde,Luxemburg,1.5,1.5,Attack - Left Winger,38,right,Bor. M'gladbach,2025-06-30,2022-07-01,Wasserman,Puma
167,Jonas Hofmann,,30,1.76,Germany,Heidelberg,13.0,16.0,Attack - Right Winger,23,right,Bor. M'gladbach,2025-06-30,2016-01-01,Dr. Marco Gutfleisch,
168,Nathan Ngoumou,Nathan Ngoumou Minpole,23,1.83,France  Cameroon,Toulouse,5.0,7.0,Attack - Right Winger,19,right,Bor. M'gladbach,2027-06-30,2022-08-30,NexSt11,Puma
169,Patrick Herrmann,,32,1.79,Germany,Uchtelfangen,2.0,12.0,Attack - Right Winger,7,right,Bor. M'gladbach,2024-06-30,2010-01-01,PRO Profil GmbH,Puma
170,Marcus Thuram,Marcus Lilian Thuram-Ulien,25,1.92,France  Guadeloupe,Parma,32.0,40.0,Attack - Centre-Forward,10,right,Bor. M'gladbach,2023-06-30,2019-07-22,Sport Cover,Nike
171,Koen Casteels,,30,1.97,Belgium,Bonheiden,8.0,14.0,Goalkeeper,1,left,VfL Wolfsburg,2024-06-30,2015-01-21,Relatives,Nike
172,Pavao Pervan,,35,1.94,Austria,Livno,0.4,0.8,Goalkeeper,12,both,VfL Wolfsburg,2024-06-30,2018-07-01,ROOF,
173,Philipp Schulze,,20,1.9,Germany,,0.2,0.2,Goalkeeper,35,,VfL Wolfsburg,2026-06-30,2021-07-01,PRO Profil GmbH,adidas
174,Niklas Klinger,,27,1.87,Germany,Wolfsburg,0.1,0.1,Goalkeeper,30,right,VfL Wolfsburg,2025-06-30,2019-07-01,TPWE GmbH,
175,Maxence Lacroix,,23,1.9,France  Guadeloupe,Villeneuve-Saint-Georges,20.0,28.0,Defender - Centre-Back,4,right,VfL Wolfsburg,2025-06-30,2020-08-25,Hexagon,
176,Micky van de Ven,,22,1.93,Netherlands,Wormer,18.0,18.0,Defender - Centre-Back,5,left,VfL Wolfsburg,2027-06-30,2021-08-31,Team Raiola,
177,Sebastiaan Bornauw,,24,1.91,Belgium,Wemmel,8.5,14.0,Defender - Centre-Back,3,right,VfL Wolfsburg,2026-06-30,2021-07-16,CAA Stellar,adidas
178,Paulo Otávio,,28,1.73,Brazil,Ourinhos,6.5,8.0,Defender - Left-Back,6,left,VfL Wolfsburg,2023-06-30,2019-07-01,TFM Agency,
179,Nicolas Cozza,Nicolas Louis Marcel Cozza,24,1.78,France  Italy,Ganges,5.0,5.0,Defender - Left-Back,8,left,VfL Wolfsburg,2027-06-30,2023-01-25,,
180,Ridle Baku,Bote Nzuzi Baku,25,1.76,Germany  DR Congo,Mainz,13.0,25.0,Defender - Right-Back,20,right,VfL Wolfsburg,2025-06-30,2020-10-01,AKA Global GmbH,adidas
181,Kilian Fischer,,22,1.82,Germany,Miltenberg,2.0,2.0,Defender - Right-Back,2,both,VfL Wolfsburg,2027-06-30,2022-07-01,Robert Schneider,
182,Bartol Franjic,Bartol Franjić,23,1.88,Croatia,Zagreb,4.0,6.5,midfield - Defensive Midfield,38,left,VfL Wolfsburg,2027-06-30,2022-07-01,Kostila,
183,Josuha Guilavogui,,32,1.88,France  Guinea,Toulon,3.0,14.0,midfield - Defensive Midfield,29,right,VfL Wolfsburg,2023-06-30,2016-07-01,Relatives,
184,Maximilian Arnold,,28,1.84,Germany,Riesa,17.0,19.0,midfield - Central Midfield,27,left,VfL Wolfsburg,2026-06-30,2012-01-01,Karl M. Herzog ...,
185,Mattias Svanberg,Mattias Olof Svanberg,24,1.85,Sweden,Malmö,15.0,15.0,midfield - Central Midfield,32,right,VfL Wolfsburg,2027-06-30,2022-07-16,MD Management,
186,Yannick Gerhardt,,29,1.84,Germany,Würselen,7.0,12.0,midfield - Central Midfield,31,left,VfL Wolfsburg,2025-06-30,2016-07-01,Stephan Engels,
187,Kevin Paredes,Kevin Alexander Paredes,20,1.7,United States  Dominican Republic,"South Riding, Virginia",5.0,5.0,midfield - Left Midfield,40,left,VfL Wolfsburg,2026-06-30,2022-01-28,,
188,Felix Nmecha,,22,1.9,Germany  England,Hamburg,8.0,8.0,midfield - Attacking Midfield,22,right,VfL Wolfsburg,2024-06-30,2021-07-21,,
189,Jakub Kaminski,Jakub Kamiński,20,1.79,Poland,Ruda Śląska,10.0,10.0,Attack - Left Winger,16,right,VfL Wolfsburg,2027-06-30,2022-07-01,BMG-SPORT,adidas
190,Patrick Wimmer,,21,1.82,Austria,Tulln,12.0,12.0,Attack - Right Winger,39,,VfL Wolfsburg,2027-06-30,2022-07-01,More than Sport GmbH,Puma
191,Luca Waldschmidt,Gian-Luca Waldschmidt,26,1.81,Germany,Siegen,3.0,20.0,Attack - Second Striker,7,left,VfL Wolfsburg,2025-06-30,2021-08-22,Sports360 GmbH,
192,Lukas Nmecha,Lukas Okechukwu Nmecha,24,1.85,Germany  England,Hamburg,14.0,18.0,Attack - Centre-Forward,10,right,VfL Wolfsburg,2025-06-30,2021-07-16,,
193,Jonas Wind,Jonas Older Wind,24,1.9,Denmark,Hvidovre,14.0,14.0,Attack - Centre-Forward,23,right,VfL Wolfsburg,2026-06-30,2022-01-31,People In Sport,
194,Omar Marmoush,عمر مرموش | Omar Khaled Mohamed Marmoush,24,1.83,Egypt  Canada,Kairo,6.0,6.0,Attack - Centre-Forward,33,right,VfL Wolfsburg,2023-06-30,2020-07-01,CAA Stellar,
195,Dzenan Pejcinovic,Dženan Pejčinović,18,1.88,Germany  Montenegro,München,1.0,1.0,Attack - Centre-Forward,18,left,VfL Wolfsburg,2027-06-30,2022-07-14,Karl M. Herzog ...,
196,Mark Flekken,,29,1.95,Netherlands,Bocholtz,7.0,7.0,Goalkeeper,26,both,SC Freiburg,,2018-07-01,SEG,
197,Noah Atubolu,,20,1.9,Germany  Nigeria,Freiburg im Breisgau,2.0,2.0,Goalkeeper,21,right,SC Freiburg,,2021-07-01,Unique Sports Group,
198,Benjamin Uphoff,,29,1.92,Germany,Burghausen,0.5,0.6,Goalkeeper,1,right,SC Freiburg,,2020-08-05,Karl M. Herzog ...,
199,Philipp Lienhart,,26,1.89,Austria,Lilienfeld,20.0,20.0,Defender - Centre-Back,3,right,SC Freiburg,2024-06-30,2018-07-01,YOU FIRST,Nike
200,Matthias Ginter,Matthias Lukas Ginter,29,1.91,Germany,Freiburg im Breisgau,20.0,35.0,Defender - Centre-Back,28,right,SC Freiburg,2027-06-30,2022-07-01,Unique Sports Group,
201,Manuel Gulde,,32,1.84,Germany,Mannheim,1.7,4.0,Defender - Centre-Back,5,right,SC Freiburg,,2016-07-01,Unique Sports Group,
202,Kenneth Schmidt,Tan-Kenneth Jerico Leka-Schmidt,20,1.87,Germany,Freiburg im Breisgau,0.75,0.75,Defender - Centre-Back,35,left,SC Freiburg,,2023-01-01,Relatives,
203,Christian Günter,,30,1.84,Germany,Villingen-Schwenningen,10.0,12.0,Defender - Left-Back,30,left,SC Freiburg,,2012-07-01,Unique Sports Group,
204,Kimberly Ezekwem,Kimberly Chiwetalu Akwaeze Ezekwem,21,1.87,Germany  Nigeria,München,0.35,0.35,Defender - Left-Back,24,left,SC Freiburg,,2021-07-01,CN Sports,
205,Kiliann Sildillia,Kiliann Eric Sildillia,20,1.86,France  Guadeloupe,Montigny-lès-Metz,12.0,12.0,Defender - Right-Back,25,right,SC Freiburg,2026-06-30,2021-07-01,ROGON,
206,Lukas Kübler,,30,1.82,Germany,Bonn,3.0,3.0,Defender - Right-Back,17,right,SC Freiburg,,2015-07-01,ROOF,
207,Jonathan Schmid,,32,1.79,France,Strasbourg,1.2,5.0,Defender - Right-Back,7,right,SC Freiburg,,2019-07-01,Unique Sports Group,
208,Yannik Keitel,,23,1.86,Germany,Breisach am Rhein,4.0,4.0,midfield - Defensive Midfield,14,both,SC Freiburg,2024-06-30,2020-04-16,Unique Sports Group,
209,Nicolas Höfler,,33,1.81,Germany,Überlingen,2.5,4.5,midfield - Defensive Midfield,27,right,SC Freiburg,,2010-07-01,,
210,Maximilian Eggestein,,26,1.81,Germany,Hannover,8.0,30.0,midfield - Central Midfield,8,right,SC Freiburg,2025-06-30,2021-08-18,ROOF,
211,Merlin Röhl,,20,1.92,Germany,Berlin,2.0,2.0,midfield - Central Midfield,34,both,SC Freiburg,,2022-08-17,sportlobby,
212,Robert Wagner,,19,1.81,Germany,Lahr,0.9,0.9,midfield - Central Midfield,23,right,SC Freiburg,2024-06-30,2022-07-01,VIDA 11,
213,Daniel-Kofi Kyereh,,27,1.79,Ghana  Germany,Accra,8.0,8.0,midfield - Attacking Midfield,11,right,SC Freiburg,,2022-07-01,Alfaria sports GmbH,
214,Vincenzo Grifo,,30,1.8,Italy,Pforzheim,12.0,12.0,Attack - Left Winger,32,right,SC Freiburg,,2019-09-02,ROOF,
215,Noah Weißhaupt,Noah Raphael Weißhaupt,21,1.81,Germany,Rostock,2.5,2.5,Attack - Left Winger,33,right,SC Freiburg,,2021-07-01,Unique Sports Group,Puma
216,Ritsu Doan,堂安 律,24,1.72,Japan,"Amagasaki, Hyogo",15.0,15.0,Attack - Right Winger,42,left,SC Freiburg,,2022-07-05,CAA Stellar,Puma
217,Roland Sallai,,25,1.83,Hungary,Budapest,10.0,16.0,Attack - Right Winger,22,both,SC Freiburg,2025-06-30,2018-08-31,World Soccer Agency,Nike
218,Woo-yeong Jeong,정우영,23,1.79,"Korea, South",Ulsan,4.0,5.5,Attack - Second Striker,29,right,SC Freiburg,2025-06-30,2019-07-01,Apertura Sports GmbH,
219,Michael Gregoritsch,,29,1.93,Austria,Graz,8.0,20.0,Attack - Centre-Forward,38,left,SC Freiburg,,2022-07-08,ROGON,adidas
220,Lucas Höler,,28,1.84,Germany,Achim,5.0,6.5,Attack - Centre-Forward,9,right,SC Freiburg,,2018-01-01,Unique Sports Group,
221,Nils Petersen,,34,1.88,Germany,Wernigerode,1.5,12.0,Attack - Centre-Forward,18,right,SC Freiburg,2023-06-30,2015-07-01,Relatives,adidas
222,Oliver Baumann,,32,1.87,Germany,Breisach am Rhein,4.5,10.0,Goalkeeper,1,right,TSG Hoffenheim,2024-06-30,2014-07-01,CN Sports,adidas
223,Philipp Pentke,,38,1.91,Germany,Freiberg,0.3,0.4,Goalkeeper,12,right,TSG Hoffenheim,2023-06-30,2019-07-01,Bigpoint,HashtagOne
224,Luca Philipp,,22,1.92,Germany,Stuttgart,0.3,0.3,Goalkeeper,37,,TSG Hoffenheim,2024-06-30,2020-07-31,Relatives,
225,Nahuel Noll,Nahuel Nicolas Noll,20,1.88,Germany  Spain,München,0.25,0.25,Goalkeeper,36,both,TSG Hoffenheim,2025-06-30,2021-07-01,VIDA 11,
226,Ozan Kabak,Ozan Muhammed Kabak,23,1.87,Turkey,Ankara,10.0,32.0,Defender - Centre-Back,5,right,TSG Hoffenheim,2026-06-30,2022-07-23,F-F SPORT,Nike
227,Stanley Nsoki,Stanley Pierre Nsoki,24,1.84,France  DR Congo,Poissy,8.5,12.0,Defender - Centre-Back,34,left,TSG Hoffenheim,2027-06-30,2022-08-03,ROGON,
228,Kevin Akpoguma,Kevin John Ufuoma Akpoguma,28,1.92,Nigeria  Germany,Neustadt an der Weinstraße,4.0,12.0,Defender - Centre-Back,25,right,TSG Hoffenheim,2024-06-30,2013-07-01,Unique Sports Group,adidas
229,Kevin Vogt,,31,1.94,Germany,Witten,3.5,17.0,Defender - Centre-Back,22,right,TSG Hoffenheim,2025-06-30,2016-07-01,ROOF,
230,John Anthony Brooks,,30,1.94,United States  Germany,Berlin,3.0,15.0,Defender - Centre-Back,23,left,TSG Hoffenheim,2024-06-30,2023-01-26,ROGON,
231,Eduardo Quaresma,Eduardo Filipe Quaresma Vieira Coimbra Simões,21,1.85,Portugal,Barreiro,3.0,7.0,Defender - Centre-Back,26,right,TSG Hoffenheim,2023-06-30,2022-08-04,Proeleven S.A.,adidas
232,Ermin Bicakcic,Ermin Bičakčić,33,1.85,Bosnia-Herzegovina  Germany,Zvornik,1.0,4.0,Defender - Centre-Back,4,right,TSG Hoffenheim,2023-06-30,2014-07-01,Sport Business ...,adidas
233,Angeliño,,26,1.71,Spain,Coristanco,14.0,35.0,Defender - Left-Back,11,left,TSG Hoffenheim,2023-06-30,2022-08-08,VIDA 11,Nike
234,Pavel Kaderabek,Pavel Kadeřábek,31,1.82,Czech Republic,Praha,4.0,20.0,Defender - Right-Back,3,right,TSG Hoffenheim,2025-06-30,2015-07-01,no agent,
235,Justin Che,Justin Isiah Che,19,1.85,United States  Germany,"Richardson, Texas",2.0,3.0,Defender - Right-Back,24,right,TSG Hoffenheim,2023-06-30,2023-01-18,CAA Stellar,Nike
236,Angelo Stiller,,22,1.83,Germany,München,6.0,7.0,midfield - Defensive Midfield,13,left,TSG Hoffenheim,2025-06-30,2021-07-01,Gol International,
237,Sebastian Rudy,,33,1.8,Germany,Villingen-Schwenningen,1.5,15.0,midfield - Defensive Midfield,16,right,TSG Hoffenheim,2023-06-30,2021-07-01,Relatives,Nike
238,Dennis Geiger,,24,1.73,Germany,Mosbach,9.0,13.0,midfield - Central Midfield,8,right,TSG Hoffenheim,2027-06-30,2016-07-01,WINStar Management,
239,Grischa Prömel,,28,1.84,Germany,Stuttgart,7.5,7.5,midfield - Central Midfield,6,right,TSG Hoffenheim,2026-06-30,2022-07-01,Unique Sports Group,
240,Thomas Delaney,Thomas Joseph Delaney,31,1.82,Denmark  United States,Frederiksberg,3.0,27.0,midfield - Central Midfield,17,left,TSG Hoffenheim,2023-06-30,2023-01-30,Elite Sports ...,
241,Finn Ole Becker,,22,1.77,Germany,Elmshorn,1.0,2.5,midfield - Central Midfield,20,left,TSG Hoffenheim,2026-06-30,2022-07-01,Sports360 GmbH,
242,Umut Tohumcu,Umut Deger Tohumcu,18,1.75,Germany  Turkey,Offenburg,1.0,1.0,midfield - Central Midfield,40,both,TSG Hoffenheim,2026-06-30,2023-01-18,ROGON,adidas
243,Robert Skov,Robert Faxe Skov,26,1.85,Denmark,Marbella,9.0,14.0,midfield - Right Midfield,29,left,TSG Hoffenheim,2024-06-30,2019-07-29,Elite Sports ...,
244,Christoph Baumgartner,,23,1.8,Austria,Horn,20.0,22.0,midfield - Attacking Midfield,14,right,TSG Hoffenheim,2025-06-30,2019-01-15,YOU FIRST,
245,Tom Bischof,,17,1.76,Germany,Aschaffenburg,3.5,3.5,midfield - Attacking Midfield,39,left,TSG Hoffenheim,2025-06-30,2021-07-01,Agent is known - Player under 18,
246,Muhammed Damar,Muhammed Mehmet Damar,19,1.85,Germany  Turkey,Berlin,1.0,1.0,midfield - Attacking Midfield,35,both,TSG Hoffenheim,2026-06-30,2022-07-01,EMG Mundial,
247,Jacob Bruun Larsen,,24,1.83,Denmark,Lyngby,4.0,20.0,Attack - Left Winger,7,right,TSG Hoffenheim,2024-06-30,2020-01-31,Boutique Transfers,Nike
248,Kasper Dolberg,Kasper Dolberg Rasmussen,25,1.87,Denmark,Silkeborg,9.0,23.0,Attack - Centre-Forward,19,right,TSG Hoffenheim,2023-06-30,2023-01-02,Rafaela Pimenta,adidas
249,Andrej Kramaric,Andrej Kramarić,31,1.77,Croatia,Zagreb,9.0,38.0,Attack - Centre-Forward,27,right,TSG Hoffenheim,2025-06-30,2016-07-01,,adidas
250,Ihlas Bebou,,29,1.83,Togo  Germany,Aledjo Kadara,7.0,16.0,Attack - Centre-Forward,9,right,TSG Hoffenheim,2026-06-30,2019-07-01,Wasserman,
251,Munas Dabbur,מואנס דאבור,30,1.82,Israel,Nazareth,4.0,15.0,Attack - Centre-Forward,10,right,TSG Hoffenheim,2024-06-30,2020-01-07,Soccer Mondial AG,Nike
252,Fisnik Asllani,,20,1.88,Germany  Kosovo,Berlin,0.8,0.8,Attack - Centre-Forward,44,both,TSG Hoffenheim,2026-06-30,2022-01-04,ROGON,
253,Frederik Rönnow,Frederik Riis Rønnow,30,1.88,Denmark,Horsens,3.5,3.5,Goalkeeper,1,right,Union Berlin,2024-06-30,2021-07-20,Boutique Transfers,adidas
254,Lennart Grill,Hannes Lennart Grill,24,1.92,Germany,Idar-Oberstein,1.0,1.5,Goalkeeper,37,right,Union Berlin,2023-06-30,2022-07-01,Soccertalk GmbH,
255,Jakob Busk,Jakob Busk Jensen,29,1.89,Denmark,Kopenhagen,0.25,0.8,Goalkeeper,12,right,Union Berlin,2024-06-30,2016-01-15,Relatives,
256,Diogo Leite,Diogo Filipe Monteiro Pinto Leite,24,1.9,Portugal,Porto,12.0,12.0,Defender - Centre-Back,4,left,Union Berlin,2023-06-30,2022-07-16,,
257,Danilho Doekhi,Danilho Raimundo Doekhi,24,1.9,Netherlands  Suriname,Rotterdam,12.0,12.0,Defender - Centre-Back,5,right,Union Berlin,2025-06-30,2022-07-01,Wasserman,
258,Paul Jaeckel,,24,1.86,Germany,Eisenhüttenstadt,5.5,7.5,Defender - Centre-Back,3,right,Union Berlin,,2021-07-01,Karl M. Herzog ...,adidas
259,Robin Knoche,,30,1.89,Germany,Braunschweig,5.0,12.0,Defender - Centre-Back,31,right,Union Berlin,2024-06-30,2020-08-04,Sports360 GmbH,
260,Timo Baumgartl,,27,1.9,Germany,Böblingen,3.5,15.0,Defender - Centre-Back,25,right,Union Berlin,2023-06-30,2021-07-01,CN Sports,adidas
261,Jérôme Roussillon,,30,1.72,Guadeloupe  France,Sarcelles,3.0,20.0,Defender - Left-Back,26,left,Union Berlin,,2023-01-12,Only Pro Sport,Nike
262,Niko Gießelmann,,31,1.82,Germany,Hannover,2.0,4.0,Defender - Left-Back,23,left,Union Berlin,2023-06-30,2020-07-15,SMG GmbH,
263,Josip Juranovic,Josip Juranović,27,1.73,Croatia,Zagreb,9.0,9.0,Defender - Right-Back,18,right,Union Berlin,2027-06-30,2023-01-22,FSB – ...,
264,Christopher Trimmel,,36,1.89,Austria,Oberpullendorf,0.8,1.2,Defender - Right-Back,28,right,Union Berlin,2024-06-30,2014-07-01,ROOF,adidas
265,Rani Khedira,,29,1.89,Germany  Tunisia,Stuttgart,8.0,10.0,midfield - Defensive Midfield,8,right,Union Berlin,,2021-07-01,NGM SPORTS,
266,Morten Thorsby,,27,1.88,Norway,Oslo,7.0,7.0,midfield - Central Midfield,2,right,Union Berlin,2025-06-30,2022-07-19,Pando,adidas
267,Janik Haberer,,29,1.86,Germany,Wangen im Allgäu,7.0,10.0,midfield - Central Midfield,19,right,Union Berlin,2025-06-30,2022-07-01,Unique Sports Group,Puma
268,András Schäfer,,24,1.78,Hungary,Szombathely,5.0,5.0,midfield - Central Midfield,13,both,Union Berlin,,2022-01-21,EM Sports Consulting,
269,Aïssa Laïdouni,Aïssa Bilal Laïdouni,26,1.81,Tunisia  France,Montfermeil,4.0,4.0,midfield - Central Midfield,20,right,Union Berlin,,2023-01-27,World in Motion,
270,Paul Seguin,,28,1.85,Germany,Magdeburg,3.0,3.0,midfield - Central Midfield,14,right,Union Berlin,,2022-07-01,think forward,Nike
271,Levin Öztunali,Levin Mete Öztunali,27,1.84,Germany,Hamburg,1.5,6.5,midfield - Central Midfield,7,right,Union Berlin,,2021-07-01,CAA Stellar,Nike
272,Kevin Möhwald,,29,1.82,Germany,Erfurt,0.7,4.0,midfield - Central Midfield,30,right,Union Berlin,,2021-08-30,Karl M. Herzog ...,
273,Milos Pantovic,Милош Пантовић,26,1.86,Serbia  Germany,München,1.8,2.2,midfield - Attacking Midfield,32,right,Union Berlin,,2022-07-01,ROOF,Puma
274,Tim Maciejewski,Tim Luis Maciejewski,22,1.86,Germany,Berlin,0.35,0.35,Attack - Right Winger,16,right,Union Berlin,2023-06-30,2020-07-01,think forward,
275,Sheraldo Becker,,28,1.8,Suriname  Netherlands,Amsterdam,15.0,15.0,Attack - Second Striker,27,right,Union Berlin,2024-06-30,2019-07-01,Sports360 GmbH,
276,Jamie Leweling,,22,1.84,Germany  Ghana,Nürnberg,3.5,4.5,Attack - Second Striker,40,both,Union Berlin,2026-06-30,2022-07-01,Sports eXcellence ...,Puma
277,Jordan,,27,1.91,United States  France,"Washington, D. C.",9.0,10.0,Attack - Centre-Forward,45,right,Union Berlin,2026-06-30,2022-07-01,,
278,Kevin Behrens,,32,1.85,Germany,Bremen,1.5,1.5,Attack - Centre-Forward,17,both,Union Berlin,2024-06-30,2021-07-01,B O K S,
279,Sven Michel,,32,1.77,Germany,Freudenberg,1.2,1.25,Attack - Centre-Forward,11,left,Union Berlin,2024-06-30,2022-01-31,Karl M. Herzog ...,
280,Rafal Gikiewicz,Rafał Gikiewicz,35,1.9,Poland,Olsztyn,1.2,1.5,Goalkeeper,1,right,FC Augsburg,2023-06-30,2020-07-01,Wasserman,adidas
281,Tomas Koubek,Tomáš Koubek,30,1.97,Czech Republic,Hradec Králové,1.0,7.0,Goalkeeper,40,right,FC Augsburg,2024-06-30,2019-08-06,SPORT INVEST,
282,Daniel Klein,,22,1.93,Germany,Heidelberg,0.3,0.3,Goalkeeper,25,right,FC Augsburg,2025-06-30,2021-07-02,Sport Business ...,
283,Benjamin Leneis,,24,1.95,Germany,München,0.15,0.3,Goalkeeper,39,both,FC Augsburg,2023-06-30,2018-10-24,,
284,Felix Uduokhai,Ohis Felix Uduokhai,25,1.92,Germany  Nigeria,Annaberg-Buchholz,10.0,16.0,Defender - Centre-Back,19,left,FC Augsburg,2024-06-30,2020-07-01,CN Sports,Nike
285,Reece Oxford,Reece Joel Oxford,24,1.9,England  Jamaica,London,9.0,12.0,Defender - Centre-Back,4,right,FC Augsburg,2025-06-30,2019-08-02,CAA Base Ltd,
286,Jeffrey Gouweleeuw,,31,1.87,Netherlands,Heemskerk,3.5,12.0,Defender - Centre-Back,6,right,FC Augsburg,2024-06-30,2016-01-09,SEG,Under Armour
287,Maximilian Bauer,,23,1.89,Germany,Vilshofen,3.5,3.5,Defender - Centre-Back,23,right,FC Augsburg,2027-06-30,2022-07-01,Robert Schneider,
288,Iago,,26,1.81,Brazil,Monte Azul Paulista,5.5,6.5,Defender - Left-Back,22,left,FC Augsburg,2024-06-30,2019-07-01,C.R,
289,Mads Pedersen,Mads Giersing Valentin Pedersen,26,1.74,Denmark,Hørsholm,2.5,2.5,Defender - Left-Back,3,left,FC Augsburg,2024-06-30,2019-07-01,Nordic Sky,Nike
290,David Colina,David Čolina,22,1.74,Croatia,Zagreb,1.5,1.5,Defender - Left-Back,38,left,FC Augsburg,2027-06-30,2023-01-14,P&P Sport ...,Nike
291,Aaron Zehnter,,18,1.8,Germany,Sonderhofen,0.3,0.3,Defender - Left-Back,42,left,FC Augsburg,2024-06-30,2022-07-01,Karl M. Herzog ...,
292,Robert Gumny,,24,1.82,Poland,Poznań,3.5,5.0,Defender - Right-Back,2,right,FC Augsburg,2025-06-30,2020-09-02,Fabryka Futbolu,Puma
293,Niklas Dorsch,Niklas Bernd Dorsch,25,1.78,Germany,Lichtenfels,8.0,10.0,midfield - Defensive Midfield,30,right,FC Augsburg,2026-06-30,2021-07-08,CN Sports,
294,Renato Veiga,Renato Palma Veiga,19,1.9,Portugal,Lisboa,1.0,1.0,midfield - Defensive Midfield,8,left,FC Augsburg,2023-06-30,2023-01-31,Mondo Victory,
295,Tobias Strobl,,32,1.88,Germany,München,0.7,8.0,midfield - Defensive Midfield,5,right,FC Augsburg,2023-06-30,2020-07-01,CN Sports,
296,Julian Baumgartlinger,,35,1.84,Austria,Salzburg,0.6,6.0,midfield - Defensive Midfield,14,right,FC Augsburg,2023-06-30,2022-08-16,PRO Profil GmbH,
297,Arne Maier,,24,1.86,Germany,Ludwigsfelde,5.5,24.0,midfield - Central Midfield,10,right,FC Augsburg,2025-06-30,2022-07-01,11WINS,Puma
298,Elvis Rexhbecaj,Elvis Rexhbeçaj,25,1.82,Germany  Kosovo,"Gjonaj, Prizren",3.5,8.0,midfield - Central Midfield,13,left,FC Augsburg,2026-06-30,2022-07-27,Soccertalk GmbH,
299,Arne Engels,,19,1.85,Belgium,,3.5,3.5,midfield - Central Midfield,27,right,FC Augsburg,2027-06-30,2023-01-03,Wasserman,
300,Fredrik Jensen,Hans Fredrik Jensen,25,1.83,Finland,Porvoo,2.5,3.0,midfield - Attacking Midfield,24,right,FC Augsburg,2025-06-30,2018-07-01,V4S,
301,Mert Kömür,,17,1.83,Germany  Turkey,Dachau,,,midfield - Attacking Midfield,20,both,FC Augsburg U19,2027-06-30,2022-07-01,Agent is known - Player under 18,adidas
302,Rubén Vargas,Rubén Estephan Vargas Martínez,24,1.79,Switzerland  Dominican Republic,Adligenswil,6.0,13.0,Attack - Left Winger,16,right,FC Augsburg,2025-06-30,2019-07-01,IFM,
